ocorrencias,capital,demacro,interior,total,mes,ano
LESÃO CORPORAL DOLOSA,897,869,2921,4687,5,2013
MAUS TRATOS,2,6,21,29,5,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,186,231,733,1150,5,2013
CONSTRANGIMENTO ILEGAL,1,0,10,11,5,2013
AMEAÇA,758,1035,3567,5360,5,2013
INVASÃO DE DOMICÍLIO,2,5,20,27,5,2013
DANO,8,10,62,80,5,2013
ESTUPRO CONSUMADO,9,3,23,35,5,2013
ESTUPRO TENTADO,0,0,4,4,5,2013
ESTUPRO DE VULNERÁVEL,3,15,8,26,5,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,6,6,5,2013
HOMICÍDIO DOLOSO,0,2,0,2,4,2013
HOMICÍDIO CULPOSO,0,0,0,0,4,2013
TENTATIVA DE HOMICÍDIO,6,6,19,31,4,2013
LESÃO CORPORAL DOLOSA,954,887,3225,5066,4,2013
MAUS TRATOS,4,6,20,30,4,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,230,257,934,1421,4,2013
CONSTRANGIMENTO ILEGAL,0,1,16,17,4,2013
AMEAÇA,963,1059,3848,5870,4,2013
INVASÃO DE DOMICÍLIO,4,4,21,29,4,2013
DANO,9,17,67,93,4,2013
ESTUPRO CONSUMADO,7,6,13,26,4,2013
ESTUPRO TENTADO,0,1,0,1,4,2013
ESTUPRO DE VULNERÁVEL,3,8,10,21,4,2013
OUTROS C/C/ DIGNIDADE SEXUAL,2,0,0,2,4,2013
HOMICÍDIO DOLOSO,1,0,4,5,3,2013
HOMICÍDIO CULPOSO,0,0,0,0,3,2013
TENTATIVA DE HOMICÍDIO,0,8,24,32,3,2013
LESÃO CORPORAL DOLOSA,860,881,3247,4988,3,2013
MAUS TRATOS,1,7,46,54,3,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,167,209,774,1150,3,2013
CONSTRANGIMENTO ILEGAL,6,5,13,24,3,2013
AMEAÇA,891,1111,3729,5731,3,2013
INVASÃO DE DOMICÍLIO,2,4,23,29,3,2013
DANO,5,13,71,89,3,2013
ESTUPRO CONSUMADO,10,12,26,48,3,2013
ESTUPRO TENTADO,0,1,0,1,3,2013
ESTUPRO DE VULNERÁVEL,4,10,19,33,3,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,3,2013
HOMICÍDIO DOLOSO,0,1,4,5,2,2013
HOMICÍDIO CULPOSO,0,0,7,7,2,2013
TENTATIVA DE HOMICÍDIO,2,7,17,26,2,2013
LESÃO CORPORAL DOLOSA,896,825,3223,4944,2,2013
MAUS TRATOS,1,7,28,36,2,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,208,218,817,1243,2,2013
CONSTRANGIMENTO ILEGAL,1,21,13,35,2,2013
AMEAÇA,925,914,3638,5477,2,2013
INVASÃO DE DOMICÍLIO,1,3,11,15,2,2013
DANO,0,11,60,71,2,2013
ESTUPRO CONSUMADO,11,7,21,39,2,2013
ESTUPRO TENTADO,0,1,3,4,2,2013
ESTUPRO DE VULNERÁVEL,3,9,19,31,2,2013
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,6,6,2,2013
HOMICÍDIO DOLOSO,1,0,4,5,1,2013
HOMICÍDIO CULPOSO,0,0,0,0,1,2013
TENTATIVA DE HOMICÍDIO,2,7,22,31,1,2013
LESÃO CORPORAL DOLOSA,926,890,3338,5154,1,2013
MAUS TRATOS,3,4,34,41,1,2013
CALÚNIA - DIFAMAÇÃO - INJÚRIA,206,247,836,1289,1,2013
CONSTRANGIMENTO ILEGAL,0,4,10,14,1,2013
AMEAÇA,1062,1245,4083,6390,1,2013
INVASÃO DE DOMICÍLIO,3,1,19,23,1,2013
DANO,10,18,66,94,1,2013
ESTUPRO CONSUMADO,7,8,11,26,1,2013
ESTUPRO TENTADO,0,0,1,1,1,2013
ESTUPRO DE VULNERÁVEL,2,12,30,44,1,2013
OUTROS C/C/ DIGNIDADE SEXUAL,1,1,5,7,1,2013
HOMICÍDIO DOLOSO,1,0,11,12,12,2012
HOMICÍDIO CULPOSO,0,0,0,0,12,2012
TENTATIVA DE HOMICÍDIO,0,7,23,30,12,2012
LESÃO CORPORAL DOLOSA,997,921,3735,5653,12,2012
MAUS TRATOS,3,6,20,29,12,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,176,239,793,1208,12,2012
CONSTRANGIMENTO ILEGAL,0,1,9,10,12,2012
AMEAÇA,935,995,3479,5409,12,2012
INVASÃO DE DOMICÍLIO,0,2,25,27,12,2012
DANO,7,15,67,89,12,2012
ESTUPRO CONSUMADO,8,5,23,36,12,2012
ESTUPRO TENTADO,0,0,0,0,12,2012
ESTUPRO DE VULNERÁVEL,4,7,13,24,12,2012
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,12,2012
HOMICÍDIO DOLOSO,0,1,3,4,11,2012
HOMICÍDIO CULPOSO,0,0,0,0,11,2012
TENTATIVA DE HOMICÍDIO,0,5,14,19,11,2012
LESÃO CORPORAL DOLOSA,940,770,3155,4865,11,2012
MAUS TRATOS,2,9,19,30,11,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,198,199,708,1105,11,2012
CONSTRANGIMENTO ILEGAL,7,0,6,13,11,2012
AMEAÇA,911,916,3432,5259,11,2012
INVASÃO DE DOMICÍLIO,2,43,9,54,11,2012
DANO,13,12,70,95,11,2012
ESTUPRO CONSUMADO,10,6,20,36,11,2012
ESTUPRO TENTADO,0,0,3,3,11,2012
ESTUPRO DE VULNERÁVEL,2,11,14,27,11,2012
OUTROS C/C/ DIGNIDADE SEXUAL,2,0,4,6,11,2012
HOMICÍDIO DOLOSO,2,1,3,6,10,2012
HOMICÍDIO CULPOSO,0,0,0,0,10,2012
TENTATIVA DE HOMICÍDIO,3,7,29,39,10,2012
LESÃO CORPORAL DOLOSA,1130,948,3695,5773,10,2012
MAUS TRATOS,5,8,55,68,10,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,230,320,885,1435,10,2012
CONSTRANGIMENTO ILEGAL,2,0,6,8,10,2012
AMEAÇA,1192,1123,3830,6145,10,2012
INVASÃO DE DOMICÍLIO,1,4,10,15,10,2012
DANO,6,17,73,96,10,2012
ESTUPRO CONSUMADO,21,6,23,50,10,2012
ESTUPRO TENTADO,0,2,2,4,10,2012
ESTUPRO DE VULNERÁVEL,10,6,32,48,10,2012
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,2,3,10,2012
HOMICÍDIO DOLOSO,0,2,4,6,9,2012
HOMICÍDIO CULPOSO,0,0,1,1,9,2012
TENTATIVA DE HOMICÍDIO,2,0,22,24,9,2012
LESÃO CORPORAL DOLOSA,946,742,3062,4750,9,2012
MAUS TRATOS,5,3,32,40,9,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,205,163,807,1175,9,2012
CONSTRANGIMENTO ILEGAL,0,0,12,12,9,2012
AMEAÇA,901,901,3131,4933,9,2012
INVASÃO DE DOMICÍLIO,2,6,21,29,9,2012
DANO,9,17,64,90,9,2012
ESTUPRO CONSUMADO,8,9,39,56,9,2012
ESTUPRO TENTADO,0,0,2,2,9,2012
ESTUPRO DE VULNERÁVEL,8,9,13,30,9,2012
OUTROS C/C/ DIGNIDADE SEXUAL,4,1,2,7,9,2012
HOMICÍDIO DOLOSO,0,2,3,5,8,2012
HOMICÍDIO CULPOSO,0,0,1,1,8,2012
TENTATIVA DE HOMICÍDIO,1,4,16,21,8,2012
LESÃO CORPORAL DOLOSA,1189,849,3102,5140,8,2012
MAUS TRATOS,3,8,38,49,8,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,324,284,893,1501,8,2012
CONSTRANGIMENTO ILEGAL,2,3,6,11,8,2012
AMEAÇA,1135,1037,3702,5874,8,2012
INVASÃO DE DOMICÍLIO,1,4,23,28,8,2012
DANO,9,15,73,97,8,2012
ESTUPRO CONSUMADO,9,5,30,44,8,2012
ESTUPRO TENTADO,0,0,2,2,8,2012
ESTUPRO DE VULNERÁVEL,12,8,15,35,8,2012
OUTROS C/C/ DIGNIDADE SEXUAL,0,1,3,4,8,2012
HOMICÍDIO DOLOSO,1,0,5,6,7,2012
HOMICÍDIO CULPOSO,0,0,2,2,7,2012
TENTATIVA DE HOMICÍDIO,2,3,16,21,7,2012
LESÃO CORPORAL DOLOSA,844,897,2931,4672,7,2012
MAUS TRATOS,8,3,17,28,7,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,180,284,836,1300,7,2012
CONSTRANGIMENTO ILEGAL,1,4,10,15,7,2012
AMEAÇA,863,1005,3231,5099,7,2012
INVASÃO DE DOMICÍLIO,1,6,15,22,7,2012
DANO,10,9,69,88,7,2012
ESTUPRO CONSUMADO,8,9,17,34,7,2012
ESTUPRO TENTADO,0,0,1,1,7,2012
ESTUPRO DE VULNERÁVEL,2,5,14,21,7,2012
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,2,2,7,2012
HOMICÍDIO DOLOSO,1,0,3,4,6,2012
HOMICÍDIO CULPOSO,0,0,0,0,6,2012
TENTATIVA DE HOMICÍDIO,1,3,5,9,6,2012
LESÃO CORPORAL DOLOSA,827,774,2758,4359,6,2012
MAUS TRATOS,3,14,17,34,6,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,175,221,897,1293,6,2012
CONSTRANGIMENTO ILEGAL,0,1,7,8,6,2012
AMEAÇA,877,895,3305,5077,6,2012
INVASÃO DE DOMICÍLIO,22,2,15,39,6,2012
DANO,5,9,67,81,6,2012
ESTUPRO CONSUMADO,9,9,28,46,6,2012
ESTUPRO TENTADO,0,1,2,3,6,2012
ESTUPRO DE VULNERÁVEL,3,7,18,28,6,2012
OUTROS C/C/ DIGNIDADE SEXUAL,1,1,3,5,6,2012
HOMICÍDIO DOLOSO,1,0,3,4,5,2012
HOMICÍDIO CULPOSO,0,0,1,1,5,2012
TENTATIVA DE HOMICÍDIO,0,3,30,33,5,2012
LESÃO CORPORAL DOLOSA,914,888,3260,5062,5,2012
MAUS TRATOS,4,11,47,62,5,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,175,239,934,1348,5,2012
CONSTRANGIMENTO ILEGAL,1,3,6,10,5,2012
AMEAÇA,975,1065,3877,5917,5,2012
INVASÃO DE DOMICÍLIO,1,44,18,63,5,2012
DANO,5,6,73,84,5,2012
ESTUPRO CONSUMADO,13,13,42,68,5,2012
ESTUPRO TENTADO,0,5,1,6,5,2012
ESTUPRO DE VULNERÁVEL,3,7,24,34,5,2012
OUTROS C/C/ DIGNIDADE SEXUAL,2,0,10,12,5,2012
HOMICÍDIO DOLOSO,0,2,3,5,4,2012
HOMICÍDIO CULPOSO,0,0,0,0,4,2012
TENTATIVA DE HOMICÍDIO,4,9,15,28,4,2012
LESÃO CORPORAL DOLOSA,981,887,3270,5138,4,2012
MAUS TRATOS,4,6,24,34,4,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,184,204,840,1228,4,2012
CONSTRANGIMENTO ILEGAL,1,12,6,19,4,2012
AMEAÇA,1016,910,3614,5540,4,2012
INVASÃO DE DOMICÍLIO,1,2,17,20,4,2012
DANO,4,8,84,96,4,2012
ESTUPRO CONSUMADO,16,5,22,43,4,2012
ESTUPRO TENTADO,0,1,1,2,4,2012
ESTUPRO DE VULNERÁVEL,5,5,22,32,4,2012
OUTROS C/C/ DIGNIDADE SEXUAL,2,0,1,3,4,2012
HOMICÍDIO DOLOSO,9,2,4,15,3,2012
HOMICÍDIO CULPOSO,0,0,0,0,3,2012
TENTATIVA DE HOMICÍDIO,2,0,15,17,3,2012
LESÃO CORPORAL DOLOSA,1169,1006,3468,5643,3,2012
MAUS TRATOS,11,5,37,53,3,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,271,276,1013,1560,3,2012
CONSTRANGIMENTO ILEGAL,11,0,8,19,3,2012
AMEAÇA,1344,1095,3922,6361,3,2012
INVASÃO DE DOMICÍLIO,1,1,20,22,3,2012
DANO,5,12,82,99,3,2012
ESTUPRO CONSUMADO,32,4,25,61,3,2012
ESTUPRO TENTADO,0,2,5,7,3,2012
ESTUPRO DE VULNERÁVEL,7,4,15,26,3,2012
OUTROS C/C/ DIGNIDADE SEXUAL,0,0,5,5,3,2012
HOMICÍDIO DOLOSO,4,1,4,9,2,2012
HOMICÍDIO CULPOSO,0,0,2,2,2,2012
TENTATIVA DE HOMICÍDIO,2,6,16,24,2,2012
LESÃO CORPORAL DOLOSA,1291,1075,3741,6107,2,2012
MAUS TRATOS,7,7,37,51,2,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,225,190,981,1396,2,2012
CONSTRANGIMENTO ILEGAL,0,45,8,53,2,2012
AMEAÇA,1295,1108,3841,6244,2,2012
INVASÃO DE DOMICÍLIO,6,2,12,20,2,2012
DANO,12,10,64,86,2,2012
ESTUPRO CONSUMADO,17,9,29,55,2,2012
ESTUPRO TENTADO,0,1,3,4,2,2012
ESTUPRO DE VULNERÁVEL,7,4,34,45,2,2012
OUTROS C/C/ DIGNIDADE SEXUAL,2,0,2,4,2,2012
HOMICÍDIO DOLOSO,0,0,4,4,1,2012
HOMICÍDIO CULPOSO,0,0,2,2,1,2012
TENTATIVA DE HOMICÍDIO,4,3,21,28,1,2012
LESÃO CORPORAL DOLOSA,1295,1197,3751,6243,1,2012
MAUS TRATOS,8,7,24,39,1,2012
CALÚNIA - DIFAMAÇÃO - INJÚRIA,273,212,874,1359,1,2012
CONSTRANGIMENTO ILEGAL,3,1,4,8,1,2012
AMEAÇA,1174,1183,3860,6217,1,2012
INVASÃO DE DOMICÍLIO,3,3,17,23,1,2012
DANO,16,14,65,95,1,2012
ESTUPRO CONSUMADO,10,18,19,47,1,2012
ESTUPRO TENTADO,0,0,4,4,1,2012
ESTUPRO DE VULNERÁVEL,3,5,17,25,1,2012
OUTROS C/C/ DIGNIDADE SEXUAL,0,1,3,4,1,2012
HOMICÍDIO DOLOSO,2,3,13,18,12,2011
HOMICÍDIO CULPOSO,0,0,0,0,12,2011
TENTATIVA DE HOMICÍDIO,0,1,15,16,12,2011
LESÃO CORPORAL DOLOSA,1412,1245,6420,9077,12,2011
MAUS TRATOS,7,8,28,43,12,2011
CALÚNIA - DIFAMAÇÃO - INJÚRIA,279,197,1277,1753,12,2011
CONSTRANGIMENTO ILEGAL,1,4,30,35,12,2011
AMEAÇA,1108,970,5502,7580,12,2011
INVASÃO DE DOMICÍLIO,3,3,20,26,12,2011
DANO,10,17,98,125,12,2011
ESTUPRO CONSUMADO,12,9,45,66,12,2011
ESTUPRO TENTADO,1,0,1,2,12,2011
ESTUPRO DE VULNERÁVEL,2,7,24,33,12,2011
OUTROS C/C/ DIGNIDADE SEXUAL,4,0,5,9,12,2011
HOMICÍDIO DOLOSO,2,0,6,8,11,2011
HOMICÍDIO CULPOSO,0,0,0,0,11,2011
TENTATIVA DE HOMICÍDIO,4,5,14,23,11,2011
LESÃO CORPORAL DOLOSA,1236,1092,3656,5984,11,2011
MAUS TRATOS,11,8,49,68,11,2011
CALÚNIA - DIFAMAÇÃO - INJÚRIA,262,145,918,1325,11,2011
CONSTRANGIMENTO ILEGAL,5,0,9,14,11,2011
AMEAÇA,1077,865,3591,5533,11,2011
INVASÃO DE DOMICÍLIO,0,4,24,28,11,2011
DANO,7,12,59,78,11,2011
ESTUPRO CONSUMADO,17,8,14,39,11,2011
ESTUPRO TENTADO,0,0,0,0,11,2011
ESTUPRO DE VULNERÁVEL,2,3,20,25,11,2011
OUTROS C/C/ DIGNIDADE SEXUAL,3,0,4,7,11,2011
HOMICÍDIO DOLOSO,2,1,5,8,10,2011
HOMICÍDIO CULPOSO,0,1,1,2,10,2011
TENTATIVA DE HOMICÍDIO,5,7,22,34,10,2011
LESÃO CORPORAL DOLOSA,1244,1098,3734,6076,10,2011
MAUS TRATOS,11,10,43,64,10,2011
CALÚNIA - DIFAMAÇÃO - INJÚRIA,254,173,806,1233,10,2011
CONSTRANGIMENTO ILEGAL,0,1,22,23,10,2011
AMEAÇA,1093,997,3443,5533,10,2011
INVASÃO DE DOMICÍLIO,1,5,22,28,10,2011
DANO,13,19,76,108,10,2011
ESTUPRO CONSUMADO,8,12,23,43,10,2011
ESTUPRO TENTADO,1,1,2,4,10,2011
ESTUPRO DE VULNERÁVEL,8,9,22,39,10,2011
OUTROS C/C/ DIGNIDADE SEXUAL,1,0,6,7,10,2011
HOMICÍDIO DOLOSO,0,2,4,6,9,2011
HOMICÍDIO CULPOSO,0,0,0,0,9,2011
TENTATIVA DE HOMICÍDIO,5,0,11,16,9,2011
LESÃO CORPORAL DOLOSA,1198,1040,3606,5844,9,2011
MAUS TRATOS,8,5,43,56,9,2011
CALÚNIA - DIFAMAÇÃO - INJÚRIA,210,202,846,1258,9,2011
CONSTRANGIMENTO ILEGAL,0,4,6,10,9,2011
AMEAÇA,1087,977,3705,5769,9,2011
INVASÃO DE DOMICÍLIO,1,1,19,21,9,2011
DANO,10,10,85,105,9,2011
ESTUPRO CONSUMADO,19,13,16,48,9,2011
ESTUPRO TENTADO,1,1,2,4,9,2011
ESTUPRO DE VULNERÁVEL,2,8,20,30,9,2011
OUTROS C/C/ DIGNIDADE SEXUAL,3,0,3,6,9,2011
